"","REMESAS"
"1",280155040.64
"2",304097868.01
"3",339939224.742
"4",290804738.11
"5",303781236.31
"6",280461643.962
"7",337133292.88
"8",314046412.91
"9",294098116.396
"10",306398493.56
"11",282056928.19
"12",349959487.373
"13",299479413.87
"14",322128447.48
"15",366434938.86
"16",351856237.37
"17",346451193.13
"18",339984796.68
"19",369679377.38
"20",345464139.65
"21",316408208.44
"22",301942891.33
"23",289377897.25
"24",359182975.58
"25",300039839.76
"26",366658552.94
"27",409431620.63
"28",327994910.22
"29",341065591.39
"30",345278844.893
"31",367180358.76
"32",370319304.55
"33",315846701.764
"34",263515509.23
"35",313699778.55
"36",324340571.742
"37",327746152.32
"38",366990850.94
"39",421949291.832
"40",290738915.37
"41",314883789.31
"42",328727490.97
"43",418638789.75
"44",394026711.15
"45",262324566.051
"46",364187035.08
"47",335469235.43
"48",436610264.312
"49",323273997.11
"50",388971034.24
"51",459764365.054
"52",389133287.7
"53",414930543.79
"54",374680832.445
"55",418464147.86
"56",430715640.62
"57",288498699.21
"58",380250525.27
"59",356908314.1
"60",345729759.47
"61",338759493.74
"62",399184864.13
"63",462136462.35
"64",402542804.25
"65",439577484.54
"66",430157969.211
"67",452074045.68
"68",446852480.91
"69",362771798.52
"70",395678984.67
"71",344124030.73
"72",486893809.336
"73",384190402.3
"74",466006216.02
"75",439136355.735
"76",454337108.36
"77",399579648.05
"78",446862544.564
"79",477208280.36
"80",485613039.9
"81",355070607.748
"82",433734541.6
"83",415079221.94
"84",504028585.777
"85",440926798.01
"86",454346152.82
"87",559635999.701
"88",465148169.85
"89",514036780.55
"90",474429497.736
"91",512560013.74
"92",525958779
"93",468264423.234
"94",474028830.79
"95",458517976.85
"96",563904258.277
"97",494416133.65
"98",455877883.2
"99",600616467.742
"100",537834597.41
"101",569315292.54
"102",557747467.623
"103",583163404.87
"104",551484711.72
"105",515978530.365
"106",525558504.07
"107",498141286.77
"108",603929374.286
"109",537027584.84
"110",540684107.56
"111",665489927.627
"112",585198360.76
"113",541946170.17
"114",587007958.966
"115",640298900.47
"116",628403279.75
"117",566862569.723
"118",580329554
"119",557117042.19
"120",656680078.403
"121",586851782.678
"122",596216800.558
"123",520139430.559
"124",395004254.92
"125",638730418.44
"126",737908001.75
"127",827713827.27
"128",769933855.046
"129",777350190.964
"130",789590454.344
"131",707510212.317
"132",872313696.869
"133",792839517.421
"134",760958880.46
"135",994889301.16
"136",910809026.476
"137",933752196.874
"138",869822861.82
"139",896567423.147
"140",872047887.068
"141",829623080.532
"142",813792702.546
"143",786577300.257
"144",940789022.517
"145",759268885.648
"146",748809460.878
"147",888125059.311
"148",809846663.227
"149",851165269.275
"150",803840934.809
"151",808612516.817
"152",849169104.28
"153",790595018.153
"154",815873454.879
"155",786996491.143
"156",944194602.62
"157",802023009.991
"158",764254045.343
"159",915070300.869
